"idx","nome","categoria","subcategoria","grupoContabil","confianca"
"513","Soquete Sextavado 11","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"514","Combinada Speedy 8","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"515","Adesivo Vinil Light Red","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"516","Disco Pluma P2000 (polimento)","Abrasivos e Polimento","Discos e compostos de polimento/refino","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"517","Laranja","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"518","Bobina Papel Tkv","Mascaramento e Cobertura","Papel e bobina de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"519","Calça - 44","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"520","Manguito - G","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"521","Boné Verde C/ Tela","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Cortesia / brindes (pós-venda)","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"522","Adesivo Selante Cinza","Funilaria e Reparo de Carroceria","Selantes e vedantes de carroceria","PRODUTIVO › Massas","alta"
"523","Adesivo Selante Preto","Funilaria e Reparo de Carroceria","Selantes e vedantes de carroceria","PRODUTIVO › Massas","alta"
"524","Abraçadeira Nylon Preta","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"525","Chave Canhão 7","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"526","Combinada 9","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"527","Fita Filete Pvc","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","media"
"528","Nivel de Mão","Ferramentas Manuais e Medição","Instrumentos de medição e alinhamento","INVESTIMENTO › Internos (ativo durável)","alta"
"529","Combinada 19","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"530","Bico de Ar","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"531","Chave Canhão 6","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"532","Disco de Corte","Abrasivos e Polimento","Discos de desbaste e corte (esmerilhadeira)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"533","Boné Verde","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Cortesia / brindes (pós-venda)","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"534","Chave P/ Mandril","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","media"
"535","Tripé P/ Nivel Á Laser","Ferramentas Manuais e Medição","Instrumentos de medição e alinhamento","INVESTIMENTO › Internos (ativo durável)","alta"
"536","Nivel Á Laser","Ferramentas Manuais e Medição","Instrumentos de medição e alinhamento","INVESTIMENTO › Internos (ativo durável)","alta"
"537","Removedor","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Preparadores de superfície (desengraxante/removedor)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"538","Macacão de Segurança","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"539","Primer Spectra 2k","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"540","Botina - 42","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"541","Pistola de Pintura","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"542","Pacote Saco de Lixo 200 lts","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"543","Combinada Speedy 19","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"544","Rompedor/talhadeira","Ferramentas Manuais e Medição","Martelos e impacto manual","INVESTIMENTO › Internos (ativo durável)","media"
"545","Lanterna Led","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"546","Soquete Torx T-30","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"547","Pilha","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Informática / eletrônicos de apoio","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"548","Kit Soquete Adaptador Macho","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"549","Rebite de Repuxo 416","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças","alta"
"550","Rebite de Repuxo 525","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças","alta"
"551","Rebite Rosca Lisa","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças","alta"
"552","Rolo Etiqueta","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Escritório / administrativo","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"553","Chave de Impacto","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"554","Parafusadeira Bat 18v-3,0ah","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"555","Papel Toalha Interfolha Branco","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"556","Papel Corrugado (ondulado)","Mascaramento e Cobertura","Papel e bobina de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"557","Manguito - GG","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"558","Ferro de Solda","Ferramentas Elétricas/Pneumáticas e Equipamentos","Fontes de calor (maçarico/soprador)","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"559","Disco Desbaste","Abrasivos e Polimento","Discos de desbaste e corte (esmerilhadeira)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"560","Chave Inglesa","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","media"
"561","Conjunto Trava Porta Grande","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"562","Filtro Compressor","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"563","Primer Pu Preto Rodo","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"564","Perolizado Branco Fino","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"565","Micro Retifica Worker 190 Peças","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"566","Lixa Folha D'agua P600","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"567","Martelet","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"568","Escada de Aluminio","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"569","Lanterna de Cabeça","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","baixa"
"570","Laranja Organico","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"571","Soquete Sextavado 14 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"572","Copo 50 ML c/100 unid.","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Copa / descartáveis (alimentação)","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","media"
"573","Botina Reposição - 45","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"574","Vermelho Oxido","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"575","Macho 3/8","Ferramentas Manuais e Medição","Ferramentas de corte/recorte e escovas","INVESTIMENTO › Internos (ativo durável)","media"
"576","Valvula Esferica Latão 3/4","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"577","Valvula Esferica Latão 1/2","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"578","Faixa Refletiva","Plotagem e Adesivação","Faixas e películas refletivas","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"579","Amarelo Esverdeado Transparente","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"580","Chave de Impacto Bat/18v","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"581","Parafusadeira Impc 18v","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"582","Disco Corte Super","Abrasivos e Polimento","Discos de desbaste e corte (esmerilhadeira)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"583","Chave Biela L8","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"584","Niple Duplo Galv","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"585","Tampa Para Bisnaga","Aplicadores e Auxiliares de Mistura","Dosagem, transferência e filtragem","PRODUTIVO › Consumíveis de aplicação","alta"
"586","Combinada Articulada 8","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"587","Rolo Anti Respingo","Aplicadores e Auxiliares de Mistura","Rolos de pintura (capas e suportes)","PRODUTIVO › Consumíveis de aplicação","alta"
"588","Verniz Pu Acrilico","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"589","Branco","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"590","Botina - 39","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"591","Clear Poliester","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"592","Rebite de Repuxo 640","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças","alta"
"593","Lanterna Led Âmbar","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"594","Lanterna Side Marker Led Âmbar","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"595","Adesivo","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","media"
"596","Abraçadeira Nylon Preta","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"597","Par de Filtro Para Máscara","EPI — Equipamentos de Proteção Individual","Proteção respiratória — consumíveis (cartucho/filtro/retentor)","EPI","alta"
"598","Escova Aço Motoesmeril","Ferramentas Manuais e Medição","Ferramentas de corte/recorte e escovas","INVESTIMENTO › Internos (ativo durável)","alta"
"599","Parafuso Sextavado Inox 6x20 8.8","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças","alta"
"600","Combinada Speedy 17","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"601","Bucha de Redução","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"602","Primer Pu Preto 5x1","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"603","Broca Sds P/ Concreto","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"604","Parafuso Sextavado Inox","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças","alta"
"605","Refil de Maçarico","Ferramentas Elétricas/Pneumáticas e Equipamentos","Fontes de calor (maçarico/soprador)","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"606","Máscara Solda/autom","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"607","Parafuso Sextavado Zincado","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças","alta"
"608","Perolizado Vermelho Fino","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"609","Marreta Pequena","Ferramentas Manuais e Medição","Martelos e impacto manual","INVESTIMENTO › Internos (ativo durável)","alta"
"610","Faixa Refletiva","Plotagem e Adesivação","Faixas e películas refletivas","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"611","Cinta Catraca P/ Amarração","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"612","Combinada Speedy 11","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"613","Perolizado Azul Graudo","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"614","Galocha - 35","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"615","Vira Macho Reto","Ferramentas Manuais e Medição","Ferramentas de corte/recorte e escovas","INVESTIMENTO › Internos (ativo durável)","media"
"616","Chave Fenda Grande","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"617","Aluminio Ouro","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"618","Faixa Refletiva Lateral Esquerda","Plotagem e Adesivação","Faixas e películas refletivas","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"619","Plugue Fêmea","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"620","Conjunto de Chaves Fenda Phillips","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"621","Branco Transparente","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"622","Lixa Folha 400","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"623","Scotch Brite","Abrasivos e Polimento","Fibras e fosqueamento manual","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"624","Massa de Polir","Abrasivos e Polimento","Discos e compostos de polimento/refino","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"625","Espatula Inox/12cm Cab Pvc","Aplicadores e Auxiliares de Mistura","Espátulas de funilaria/massa","PRODUTIVO › Consumíveis de aplicação","alta"
"626","Estilete Snap Off","Ferramentas Manuais e Medição","Ferramentas de corte/recorte e escovas","INVESTIMENTO › Internos (ativo durável)","alta"
"627","Rebitadeira Pneumatica","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"628","Furadeira","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"629","Azul","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"630","Batente Borracha","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"631","Suporte Garfo Rolo de Pintura","Aplicadores e Auxiliares de Mistura","Rolos de pintura (capas e suportes)","PRODUTIVO › Consumíveis de aplicação","alta"
"632","Galocha - 43","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"633","Garrafa Quadrada","Aplicadores e Auxiliares de Mistura","Copos, potes e baldes de mistura","PRODUTIVO › Consumíveis de aplicação","media"
"634","Chave Fenda Média","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"635","Combinada 12","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"636","Parafusadeira","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"637","Massa Poliester Fibras","Funilaria e Reparo de Carroceria","Massas de reparo (poliéster/plástica)","PRODUTIVO › Massas","alta"
"638","Massa Poliester Fibras","Funilaria e Reparo de Carroceria","Massas de reparo (poliéster/plástica)","PRODUTIVO › Massas","alta"
"639","Máscara Semi Facial Pequena","EPI — Equipamentos de Proteção Individual","Proteção respiratória — máscaras e respiradores","EPI","alta"
"640","Combinada Catraca 15","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"641","Mangueira de Ar","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"642","Aluminio Fino Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"643","Combinada Catraca 13","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"644","Combinada Catraca 10","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"645","Disco Pluma P1500 (polimento)","Abrasivos e Polimento","Discos e compostos de polimento/refino","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"646","Chave Fenda Pequena","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"647","Martelo Pena Cabo Fibra","Ferramentas Manuais e Medição","Martelos e impacto manual","INVESTIMENTO › Internos (ativo durável)","alta"
"648","Soquete Sextavado 16","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"649","Engate Rápido Macho","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"650","Creme Protetor p/ Pele","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"651","Lixa Hookit P150","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"652","Amarelo Oxido","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"653","Combinada Speedy 10","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"654","Combinada Articulada 16","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"655","Soquete Sextavado 12","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"656","Combinada Articulada 14","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"657","Espatula Rigida Adesivo","Plotagem e Adesivação","Ferramentas de aplicação de adesivo","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"658","Parafusadeira","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"659","Chave Canhão 3","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"660","Bobina Plástico Bolha","Mascaramento e Cobertura","Plástico e filme de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"661","Lixadeira Orbital","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"662","Diluente","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Diluentes e thinners","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"663","Combinada Speedy 18","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"664","Soquete Sextavado 10","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"665","Thinner 18l","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Diluentes e thinners","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"666","Máscara","Plotagem e Adesivação","Máscara de transferência de adesivo (transfer tape)","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"667","Massa Poliester","Funilaria e Reparo de Carroceria","Massas de reparo (poliéster/plástica)","PRODUTIVO › Massas","alta"
"668","Fita Isolante","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","media"
"669","Líq. de Mascaramento","Mascaramento e Cobertura","Líquido de mascaramento","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"670","Azul Avermelhado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"671","Aluminio Medio Brilhante","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"672","Camiseta - fem","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"673","Fita Crepe Automotiva","Mascaramento e Cobertura","Fita crepe / fita de mascaramento","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"674","Engate Rapido Macho","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"675","Lixa Hookit P600","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"676","Preto Fosco Chassi","Matéria-Prima — Tintas e Toners (Cor)","Tintas de chassi e acabamento direto","MATÉRIA-PRIMA › Tintas","alta"
"677","Perolizado Dourado","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"678","Preto","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"679","Botina - 40","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"680","Copo Cristal 770ml","Aplicadores e Auxiliares de Mistura","Copos, potes e baldes de mistura","PRODUTIVO › Consumíveis de aplicação","media"
"681","Fitilho Reciclado","Mascaramento e Cobertura","Plástico e filme de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","baixa"
"682","Branco Acrilico Puro","Matéria-Prima — Tintas e Toners (Cor)","Tintas e bases prontas (acrílico, sintético, base coat)","MATÉRIA-PRIMA › Tintas","alta"
"683","Soquete Sextavado 14","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"684","Vermelho Vivo","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"685","Engate Rapido Macho (ext)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"686","Refletor Led 50w-6500k","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
